division,subtype,report_year,count_cleared,count_,clearance_rate,unsolved_crime
D51,Break & Enter-Commercial,2021,10,30,0,20
D51,Break & Enter-Commercial,2021,25,100,0,75
D51,Break & Enter-Commercial,2021,11,54,0,43
D51,Break & Enter-Commercial,2021,2,7,0,5
D51,Break & Enter-Commercial,2021,2,8,0,6
D51,Break & Enter-Commercial,2021,2,9,0,7
D51,Break & Enter-Commercial,2021,14,55,0,41
D51,Break & Enter-House,2021,5,15,0,10
D51,Break & Enter-House,2021,2,4,0,2
D51,Break & Enter-House,2021,0,2,0,2
D51,Break & Enter-House,2021,3,14,0,11
D51,Break & Enter-House,2021,1,1,1,0
D51,Break & Enter-House,2021,2,4,0,2
D51,Break & Enter-House,2021,1,2,0,1
D51,Break & Enter-Other,2021,3,10,0,7
D51,Break & Enter-Other,2021,3,5,0,2
D51,Break & Enter-Other,2021,6,14,0,8
D51,Break & Enter-Other,2021,1,15,0,14
D51,Break & Enter-Other,2021,2,3,0,1
D51,Break & Enter-Other,2021,1,3,0,2
D51,Break & Enter-Other,2021,0,1,0,1
D51,Break & Enter-Other,2021,1,7,0,6
D51,Fraud,2021,3,56,0,53
D51,Fraud,2021,10,134,0,124
D51,Fraud,2021,12,136,0,124
D51,Fraud,2021,9,106,0,97
D51,Fraud,2021,0,3,0,3
D51,Fraud,2021,4,53,0,49
D51,Fraud,2021,1,49,0,48
D51,Fraud,2021,0,5,0,5
D51,Other,2021,107,350,0,243
D52,Other,2021,7,9,0,2
D52,Other,2021,3,3,1,0
D52,Other,2021,8,9,0,1
D52,Other,2021,1,1,1,0
D52,Other,2021,7,7,1,0
D52,Other,2021,3,4,0,1
D52,Fraud,2021,11,118,0,107
D51,Other,2021,166,426,0,260
D52,Other,2021,0,1,0,1
D52,Other,2021,18,40,0,22
D52,Other,2021,7,7,1,0
D52,Fraud,2021,27,219,0,192
D51,Other,2021,1,8,0,7
D52,Other,2021,1,1,1,0
D52,Other,2021,37,58,0,21
D52,Other,2021,2,2,1,0
D52,Other,2021,30,107,0,77
D51,Other,2021,49,159,0,110
D53,Other,2021,9,9,1,0
D52,Robbery-Financial,2021,1,1,1,0
D52,Other,2021,12,13,0,1
D52,Other,2021,1,6,0,5
D51,Other,2021,45,117,0,72
D53,Other,2021,1,1,1,0
D52,Robbery-Other,2021,9,14,0,5
D52,Other,2021,11,12,0,1
D52,Other,2021,14,39,0,25
D51,Other,2021,1,4,0,3
D53,Other,2021,1,1,1,0
D52,Robbery-Other,2021,9,17,0,8
D52,Auto Theft,2021,1,23,0,22
D52,Other,2021,20,79,0,59
D51,Other,2021,56,169,0,113
D53,Other,2021,1,1,1,0
D52,Robbery-Other,2021,5,15,0,10
D52,Auto Theft,2021,0,3,0,3
D52,Other,2021,43,149,0,106
D51,Theft Over $5000,2021,1,7,0,6
D53,Other,2021,1,1,1,0
D52,Robbery-Other,2021,6,9,0,3
D52,Auto Theft,2021,1,1,1,0
D52,Other,2021,0,8,0,8
D51,Theft Over $5000,2021,2,21,0,19
D53,Other,2021,1,1,1,0
D53,Other,2021,12,12,1,0
D53,Other,2021,9,9,1,0
D53,Other,2021,5,5,1,0
D53,Other,2021,4,5,0,1
D53,Other,2021,1,1,1,0
D53,Auto Theft,2021,0,22,0,22
D53,Auto Theft,2021,0,23,0,23
D53,Auto Theft,2021,0,27,0,27
D53,Auto Theft,2021,0,19,0,19
D53,Auto Theft,2021,0,16,0,16
D53,Auto Theft,2021,0,35,0,35
D53,Auto Theft,2021,0,62,0,62
D53,Auto Theft,2021,2,87,0,85
D53,Auto Theft,2021,1,38,0,37
D53,Auto Theft,2021,0,1,0,1
D53,Auto Theft,2021,0,15,0,15
D53,Auto Theft,2021,4,73,0,69
D53,Auto Theft,2021,0,16,0,16
D53,Auto Theft,2021,1,17,0,16
D53,Auto Theft,2021,2,29,0,27
D53,Auto Theft,2021,2,13,0,11
D53,Break & Enter-Apartment,2021,9,34,0,25
D53,Break & Enter-Apartment,2021,0,2,0,2
D53,Break & Enter-Apartment,2021,2,10,0,8
D53,Break & Enter-Apartment,2021,1,3,0,2
D53,Break & Enter-Apartment,2021,2,3,0,1
D53,Break & Enter-Apartment,2021,2,5,0,3
D53,Break & Enter-Apartment,2021,2,7,0,5
D53,Break & Enter-Apartment,2021,1,4,0,3
D53,Break & Enter-Apartment,2021,6,29,0,23
D53,Break & Enter-Apartment,2021,2,19,0,17
D53,Break & Enter-Apartment,2021,3,21,0,18
